school_name,address,city,school_district,telephone,students,classroom_teachers,free_lunch_students,reduce_price_lunch
Applied Lastics Online Academy School,"15020 BURWOOD DRIVELake Mathews, CA 92570","Lake Mathews, CA 92570",,200,No,No,,
Aquinas High School,"2772 STERLING AVESan Bernardino, CA 92404","San Bernardino, CA 92404",,423,Yes,No,,
Arbor Bay School,"1017 CEDAR STSan Carlos, CA 94070","San Carlos, CA 94070",,45,No,No,,
Arbor Christian School,"23302 EL TORO RDLake Forest, CA 92630","Lake Forest, CA 92630",,42,No,No,,
Arcadia Christian School,"1900 S SANTA ANITA AVEArcadia, CA 91006","Arcadia, CA 91006",,218,No,No,,
Arcadia College Preparatory School,"145 E DUARTE RD UNIT 801Arcadia, CA 91006","Arcadia, CA 91006",,10,No,No,,
Arcadia Montessori School,"1406 S SANTA ANITA AVEArcadia, CA 91006","Arcadia, CA 91006",,22,No,No,,
Arcata Christian School,"1700 UNION STArcata, CA 95521","Arcata, CA 95521",,46,No,No,,
Archbishop Hanna High School,"17000 ARNOLD DRSonoma, CA 95476","Sonoma, CA 95476",,107,No,No,,
Archbishop Riordan High School,"175 PHELAN AVESan Francisco, CA 94112","San Francisco, CA 94112",,691,No,No,,
Archer For Girls School,"11725 W SUNSET BLVDLos Angeles, CA 90049","Los Angeles, CA 90049",,487,No,No,,
Arete Preparatory Academy School,"11500 W OLYMPIC BLVD STE 318Los Angeles, CA 90064","Los Angeles, CA 90064",,54,No,No,,
Ari Guiragos Minassian Armenian School,"5315 W MCFADDEN AVESanta Ana, CA 92704","Santa Ana, CA 92704",,109,No,No,,
Arise High School,"3301 E. 12th St. Ste. 205Oakland, CA 94601","Oakland, CA 94601",Oakland Unified,(510) 436-5487(make sure to verify first before calling),30,263,No,229
Ark Christian Academy School,"6539 ROSEMEAD BLVDSan Gabriel, CA 91775","San Gabriel, CA 91775",,200,No,No,,
Arlington Christian School,"6382 ARLINGTON BLVDRichmond, CA 94805","Richmond, CA 94805",,22,No,No,Parochial,
Armenian Mesrobian School,"8420 BEVERLY RDPico Rivera, CA 90660","Pico Rivera, CA 90660",,215,Yes,60,Christian (no specific denomination),
Armenian Sisters Academy School,"2361 FLORENCITA AVEMONTROSE, CA 91020",California forum,,260,No,No,,
Army & Navy Academy School,"2605 CARLSBAD BLVDCarlsbad, CA 92008","Carlsbad, CA 92008",,264,No,No,,
Arrow Montessori Of San Dimas School,"818 W GLADSTONE STSan Dimas, CA 91773","San Dimas, CA 91773",,126,No,No,,
Arrowhead Christian Academy School,"105 TENNESSEE STRedlands, CA 92373","Redlands, CA 92373",,374,No,No,,
Arroyo Grande Montessori School,"216 OAK STArroyo Grande, CA 93420","Arroyo Grande, CA 93420",,23,No,No,,
Arroyo Pacific Academy School,"41 W SANTA CLARA STArcadia, CA 91007","Arcadia, CA 91007",,163,No,No,,
Artek Child Education Center School,"546 W BROADWAYGlendale, CA 91204","Glendale, CA 91204",,27,No,No,,
As You Are Pre School,"7855 LINDLEY AVELos Angeles, CA 91335","Los Angeles, CA 91335",,46,No,No,,
As-Safa Institute/As-Safa Academy School,"801 HIBISCUS LANESan Jose, CA 95117","San Jose, CA 95117",,24,No,No,,
Asa Charter School,"3512 N. E St.San Bernardino, CA 92405","San Bernardino, CA 92405",San Bernardino City Unified,(909) 475-3322(make sure to verify first before calling),6,232,"Yes, under Community Eligibility Option (CEO)",178
Ascend School,"3709 E. 12th St.Oakland, CA 94601","Oakland, CA 94601",Oakland Unified,(510) 879-3140(make sure to verify first before calling),26,444,"Yes, under Provision 2",349
Ascension Lutheran School,"1140 N MIDWAY DREscondido, CA 92027","Escondido, CA 92027",,33,No,No,,
Ascension Lutheran School,"1140 N MIDWAY DREscondido, CA 92027","Escondido, CA 92027",,33,No,No,,
Ascension Lutheran School,"1140 N MIDWAY DREscondido, CA 92027","Escondido, CA 92027",,33,No,No,,
Assumption Of The Bvm Elementary School,"2660 E ORANGE GROVE BLVDPasadena, CA 91107","Pasadena, CA 91107",,315,No,No,,
Assumption School,"3016 WINTER STLos Angeles, CA 90063","Los Angeles, CA 90063",,106,Yes,90,Roman Catholic,
Assumption School,"3016 WINTER STLos Angeles, CA 90063","Los Angeles, CA 90063",,106,Yes,90,Roman Catholic,
Athena Academy School,"525 SAN ANTONIO AVEPalo Alto, CA 94306","Palo Alto, CA 94306",,50,No,No,,
Aurora School,"40 DULWICH RDOakland, CA 94618","Oakland, CA 94618",,110,No,No,,
Autism Academy School,"10824 TOPANGA CANYON BLVDLos Angeles, CA 91311","Los Angeles, CA 91311",,27,No,No,,
Averroes High School,"43174 OSGOOD RDFremont, CA 94539","Fremont, CA 94539",,49,No,No,,
Abbott Middle School,"600 36th Ave.San Mateo, CA 94403","San Mateo, CA 94403",San Mateo-Foster City,(650) 312-7600(make sure to verify first before calling),51,808,No,260
Abby Reinke Elementary School,"43799 Sunny Meadows Dr.Temecula, CA 92592","Temecula, CA 92592",Temecula Valley Unified,(951) 302-6610(make sure to verify first before calling),808,33.0,96,23
Abraham Lincoln School,"15324 California Ave.Paramount, CA 90723","Paramount, CA 90723",Paramount Unified,(562) 602-8036(make sure to verify first before calling),636,24.0,518,63
Abraham Lincoln Alternative School,"2601 Rosamond Blvd.Rosamond, CA 93560","Rosamond, CA 93560",Southern Kern Unified,(661) 256-5090(make sure to verify first before calling),98,2.3,48,Southern Kern Unified
Abraham Lincoln Continuation School,"4341 Victoria Ave.Riverside, CA 92507","Riverside, CA 92507",Riverside Unified,(951) 788-7371(make sure to verify first before calling),198,12.0,159,6
Abraham Lincoln Elementary School,"444 E. Olive St.Colton, CA 92324","Colton, CA 92324",Colton Joint Unified,(909) 876-4176(make sure to verify first before calling),697,29.0,592,56
Abraham Lincoln Elementary School,"444 E. Olive St.Colton, CA 92324","Colton, CA 92324",Colton Joint Unified,(909) 876-4176(make sure to verify first before calling),697,29.0,592,56
Abraham Lincoln Elementary School,"444 E. Olive St.Colton, CA 92324","Colton, CA 92324",Colton Joint Unified,(909) 876-4176(make sure to verify first before calling),697,29.0,592,56
Abraham Lincoln Elementary School,"444 E. Olive St.Colton, CA 92324","Colton, CA 92324",Colton Joint Unified,(909) 876-4176(make sure to verify first before calling),697,29.0,592,56
Abraham Lincoln Elementary School,"444 E. Olive St.Colton, CA 92324","Colton, CA 92324",Colton Joint Unified,(909) 876-4176(make sure to verify first before calling),697,29.0,592,56
Abraham Lincoln Elementary School,"444 E. Olive St.Colton, CA 92324","Colton, CA 92324",Colton Joint Unified,(909) 876-4176(make sure to verify first before calling),697,29.0,592,56
Abraham Lincoln Elementary School,"444 E. Olive St.Colton, CA 92324","Colton, CA 92324",Colton Joint Unified,(909) 876-4176(make sure to verify first before calling),697,29.0,592,56
Abraham Lincoln Elementary School,"444 E. Olive St.Colton, CA 92324","Colton, CA 92324",Colton Joint Unified,(909) 876-4176(make sure to verify first before calling),697,29.0,592,56
Abraham Lincoln High School,"555 Dana Ave.San Jose, CA 95126","San Jose, CA 95126",San Jose Unified,(408) 535-6300(make sure to verify first before calling),"1,903",83.7,872,189
Abraham Lincoln Middle School,"1239 Nelson Blvd.Selma, CA 93662","Selma, CA 93662",Selma Unified,(559) 898-6600(make sure to verify first before calling),38,994,No,694
Abraham Lincoln Senior High School,"3501 N. BRd.wayLos Angeles, CA 90031","Los Angeles, CA 90031",Los Angeles Unified,(323) 441-4600(make sure to verify first before calling),"1,030",52.0,812,114
Abraxas Continuation High School,"12450 Glenoak Rd.Poway, CA 92064","Poway, CA 92064",Poway Unified,(858) 748-5900(make sure to verify first before calling),21,248,No,80
Abraxis Charter School,"1207 Cleveland Ave.Santa Rosa, CA 95401","Santa Rosa, CA 95401",Santa Rosa High,(707) 539-2897(make sure to verify first before calling),3.0,No,Santa Rosa High,Yes
Acacia Elementary School,"1200 N. Acacia Ave.Fullerton, CA 92831","Fullerton, CA 92831",Fullerton Elementary,(714) 447-7700(make sure to verify first before calling),95,716,No,80
Acacia Elementary School,"1200 N. Acacia Ave.Fullerton, CA 92831","Fullerton, CA 92831",Fullerton Elementary,(714) 447-7700(make sure to verify first before calling),95,716,No,80
Acacia Elementary Charter School,"1016 E. Bianchi Rd.Stockton, CA 95210","Stockton, CA 95210",New Jerusalem Elementary,(209) 477-7013(make sure to verify first before calling),6,421,No,328
Acacia Middle School,"1200 E. Acacia Ave.Hemet, CA 92543","Hemet, CA 92543",Hemet Unified,(951) 765-1620(make sure to verify first before calling),746,36.5,603,75
Acacia Middle Charter School,"1016 E. Bianchi Rd.Stockton, CA 95210","Stockton, CA 95210",New Jerusalem Elementary,(209) 477-7014(make sure to verify first before calling),14,127,No,99
Academy For Multilingual Arts And Sci At Mervyn M. Dymally High School,"8800 S. San Pedro St.Los Angeles, CA 90003","Los Angeles, CA 90003",Los Angeles Unified,(323) 565-4600(make sure to verify first before calling),703,28.3,602,45
Academy Of Arts And Scis: Elementary Cajon Mid And High (6-12) School,"850 Hampshire Rd. Ste. CThousand Oaks, CA 91361","Thousand Oaks, CA 91361",Mountain Empire Unified,(855) 329-4227(make sure to verify first before calling),51,39,No,10
Academia Avance Charter School,"115 N. Ave. 53Los Angeles, CA 90042","Los Angeles, CA 90042",SBE - Academia Avance Charter,(323) 230-7270(make sure to verify first before calling),22,437,369,32
Academia Moderna School,"2410 BRd.wayWalnut Park, CA 90255","Walnut Park, CA 90255",Los Angeles Unified,(323) 923-0383(make sure to verify first before calling),23,469,No,398
Academies Of Education And Empowerment At Carson High School,"22328 S. Main St.Carson, CA 90745","Carson, CA 90745",Los Angeles Unified,(310) 847-1455(make sure to verify first before calling),563,21.1,267,78
Academies Of The Antelope Valley School,"6300 W. Ave. LQuartz Hill, CA 93536","Quartz Hill, CA 93536",Antelope Valley Union High,(661) 948-7655(make sure to verify first before calling),69,331,No,142
Academy (The)- Sf @mcateer School,"555 Portola Dr.San Francisco, CA 94131","San Francisco, CA 94131",San Francisco Unified,(415) 695-5700(make sure to verify first before calling),47,318,No,162
Academy Performing Pre School,"12219 Second Ave.Victorville, CA 92395","Victorville, CA 92395",Victor Elementary,(760) 245-1691(make sure to verify first before calling),Victor Elementary,No,,
Academy For Academic Excellence School,"17500 Mana Rd.Apple Valley, CA 92307","Apple Valley, CA 92307",Apple Valley Unified,(760) 946-5414(make sure to verify first before calling),67,"1,412",No,306
Academy For Change School,"290 E. Ave.Chico, CA 95926","Chico, CA 95926",Chico Unified,(530) 891-3092(make sure to verify first before calling),2.0,No,Chico Unified,No
Academy For Enriched Sciences School,"17551 Miranda St.Los Angeles, CA 91316","Los Angeles, CA 91316",Los Angeles Unified,(818) 609-8421(make sure to verify first before calling),285,12.0,76,26
Academy Of Arts And Sciences: Del Mar School,"850 Hampshire Rd. Ste. PThousand Oaks, CA 91361","Thousand Oaks, CA 91361",Mountain Empire Unified,(855) 937-4227(make sure to verify first before calling),43,214,No,58
Academy Of Arts And Sciences: Del Mar Elementary (K-5) School,"850 Hampshire Rd. Ste. CThousand Oaks, CA 91361","Thousand Oaks, CA 91361",Mountain Empire Unified,(855) 937-4227(make sure to verify first before calling),85,1.8,36,13
Academy Of Arts And Sciences: Elementary Cajon Elementary (K-5) School,"850 Hampshire Rd. Ste. CThousand Oaks, CA 91361","Thousand Oaks, CA 91361",Mountain Empire Unified,(855) 937-4227(make sure to verify first before calling),18,1.8,5,Mountain Empire Unified
Academy Of Arts And Sciences: Fresno School,"850 Hampshire Rd. Ste. PThousand Oaks, CA 91361","Thousand Oaks, CA 91361",Orange Center,(855) 937-4227(make sure to verify first before calling),35,125,No,58
Academy Of Arts And Sciences: Los Angeles School,"850 Hampshire Rd. Ste. PThousand Oaks, CA 91361",http://www.aascalifornia.org,Acton-Agua Dulce Unified,(855) 937-4227(make sure to verify first before calling),Acton-Agua Dulce Unified,Yes,,
Academy Of Arts And Sciences: Los Angeles (9-12) School,"17500 Burbank Blvd.Los Angeles, CA 91361","Los Angeles, CA 91361",Acton-Agua Dulce Unified,(855) 937-4227(make sure to verify first before calling),30,29,No,11
Academy Of Arts And Sciences: Los Angeles (K-8) School,"17500 Burbank BlvdLos Angeles, CA 91361","Los Angeles, CA 91361",Acton-Agua Dulce Unified,(855) 937-4227(make sure to verify first before calling),95,3.8,40,3
Academy Of Arts And Sciences: Oxnard & Ventura School,"850 Hampshire Rd. Ste.CWestlake Village, CA 91361","Westlake Village, CA 91361",Mupu Elementary,(855) 937-4227(make sure to verify first before calling),75,79,No,26
Academy Of Arts And Sciences: Sonoma School,"850 Hampshire Rd. Ste. PThousand Oaks, CA 91361","Thousand Oaks, CA 91361",Cotati-Rohnert Park Unified,(855) 937-4227(make sure to verify first before calling),25,300,No,60
Academy Of Arts And Sciences: Thousand Oaks & Simi Valley School,"850 Hampshire Rd. Ste. PWestlake Village, CA 91361","Westlake Village, CA 91361",Mupu Elementary,(855) 937-4227(make sure to verify first before calling),36,365,No,119
Academy Of Careers And Exploration School,"13943 Rivers Edge Rd.Helendale, CA 92342",http://www.helendalesd.org/helendale_aceeagles/?mo,Helendale Elementary,(760) 952-1266(make sure to verify first before calling),57,288,No,142
Academy Of Medical Arts At Carson High School,"22328 S. Main St.Carson, CA 90745","Carson, CA 90745",Los Angeles Unified,(310) 847-1465(make sure to verify first before calling),510,20.5,218,91
Academy Of Personalized Learning School,"2195 Larkspur Ln. Ste. 100Redding, CA 96002","Redding, CA 96002",Gateway Unified,(530) 222-9280(make sure to verify first before calling),51,368,No,156
Academy Of Science And Engineering School,"5753 Rodeo Rd.Los Angeles, CA 90016","Los Angeles, CA 90016",Los Angeles Unified,(323) 545-1100(make sure to verify first before calling),15,226,No,187
Academy Of Technology & Leadership At Saticoy School,"760 Jazmin Ave.Ventura, CA 93004","Ventura, CA 93004",Ventura Unified,(805) 672-2701(make sure to verify first before calling),44,354,No,136
Academy Of The Canyons School,"26455 Rockwell Canyon Rd.Santa Clarita, CA 91355","Santa Clarita, CA 91355",William S. Hart Union High,(661) 362-3056(make sure to verify first before calling),98,395,No,26
Academy Of The Redwoods School,"7351 Tompkins Hill Rd.Eureka, CA 95501","Eureka, CA 95501",Fortuna Union High,(707) 476-4203(make sure to verify first before calling),90,178,No,54
Acalanes Center For Independent Study School,"1963 Tice Valley Blvd.Walnut Creek, CA 94595","Walnut Creek, CA 94595",Acalanes Union High,(925) 280-3945(make sure to verify first before calling),39,3.4,3,Acalanes Union High
Acalanes High School,"1200 Pleasant Hill Rd.Lafayette, CA 94549","Lafayette, CA 94549",Acalanes Union High,(925) 280-3970(make sure to verify first before calling),"1,423",69.2,35,10
