Name,Address,Rating,Enrollment,Grade span
Bowditch Middle School,"1450 Tarpon St., Foster City",95,"1,068",06-08
Bowman Charter School,"13777 Bowman Rd., Auburn",80,556,KG-08
Bragg Elementary School,"11501 Bos St., Cerritos",86,652,KG-06
Branham High School,"1570 Branham Ln., San Jose",85,"1,514",09-12
Brea Country Hills Elementary School,"150 N. Associated Rd., Brea",86,593,KG-06
Brea Junior High School,"400 N. Brea Blvd., Brea",89,858,07-08
Brea-Olinda High School,"789 N. Wildcat Way, Brea",81,"1,872",09-12
Breen Elementary School,"2751 Breen Dr., Rocklin",84,550,KG-06
Bret Harte Middle School,"7050 Bret Harte Dr., San Jose",95,"1,238",06-08
Brewer Island Elementary School,"1151 Polynesia Dr., Foster City",92,696,KG-05
Bridgeport Elementary School,"23670 Newhall Ranch Rd., Santa Clarita",89,928,KG-06
Bridgeway Island Elementary School,"3255 Half Moon Bay Cir., West Sacramento",81,"1,009",KG-08
Brightwood Elementary School,"1701 Brightwood St., Monterey Park",86,960,KG-08
Brittan Acres Elementary School,"2000 Belle Ave., San Carlos",90,417,KG-03
Broadway Elementary School,"1015 Lincoln Blvd., Los Angeles",94,601,KG-06
Brook Knoll Elementary School,"151 Brook Knoll Dr., Santa Cruz",88,531,KG-05
Brookhaven Elementary School,"1851 N. Brookhaven Ave., Placentia",83,566,KG-06
Brookside School,"2962 Brookside Rd., Stockton",87,760,KG-08
Brookside Elementary School,"165 N. Satinwood Ave., Oak Park",94,601,KG-05
Brookside Elementary School,"116 Butterfield Rd., San Anselmo",96,369,KG-05
Brookvale Elementary School,"3400 Nicolet Ave., Fremont",91,676,KG-06
Browns Valley Elementary School,"9555 Browns Valley Sch Rd., Browns Valley",87,163,KG-06
Bryant Ranch Elementary School,"24695 Paseo de Toronto, Yorba Linda",93,585,KG-05
Brywood Elementary School,"1 W.wood, Irvine",97,579,KG-06
Buchanan High School,"1560 N. Minnewawa Ave., Clovis",88,"2,709",09-12
Bud Rank Elementary School,"3650 Powers Ave., Clovis",90,934,KG-06
Buena Terra Elementary School,"8299 Holder St., Buena Park",83,505,KG-06
Buena Vista Elementary School,"1330 Buena Vista Way, Carlsbad",86,282,KG-05
Buena Vista Elementary School,"2355 San Juan Ave., Walnut Creek",84,491,KG-05
Buri Buri Elementary School,"325 Del Monte Ave., South San Francisco",81,619,KG-05
Burlingame High School,"1 Mangini Way, Burlingame",94,"1,339",09-12
Burlingame Intermediate School,"1715 Quesada Way, Burlingame",95,"1,018",06-08
Burton Valley Elementary School,"561 Merriewood Dr., Lafayette",92,798,KG-05
Butterfield Ranch Elementary School,"6350 Mystic Canyon Dr., Chino Hills",84,734,KG-06
C. B. Eaton Elementary School,"20220 Suisun Dr., Cupertino",93,555,KG-05
C. T. English Middle School,"23800 Summit Rd., Los Gatos",97,206,06-08
Cabrillo Elementary School,"601 Crespi Dr., Pacifica",87,562,KG-08
Cabrillo Middle School,"1426 E. Santa Clara St., Ventura",80,906,06-08
Cadwallader Elementary School,"3799 Cadwallader Ave., San Jose",82,353,KG-06
Cal Aero Preserve Academy School,"15850 Main St., Chino",80,"1,111",KG-08
Calabasas High School,"22855 W. Mulholland Hwy., Calabasas",89,"1,903",09-12
Calabash Charter Academy School,"23055 Eugene St., Los Angeles",86,435,KG-05
Calavera Hills Middle School,"4104 Tamarack Ave., Carlsbad",80,499,06-08
California Academy Of Mathematics And Science School,"1000 E. Victoria St., Carson",99,681,09-12
California High School,"9870 BRd.moor Dr., San Ramon",96,"2,667",09-12
California Montessori Project-Shingle Springs Campus School,"4645 Buckeye Rd., Shingle Springs",81,438,KG-08
Calle Mayor Middle School,"4800 Calle Mayor, Torrance",87,792,06-08
Camarena (Enrique S.) Elementary School,"1650 Explr Falls Dr., Chula Vista",87,"1,063",KG-06
Camarillo Academy Of Progressive Education School,"777 Aileen St., Camarillo",97,569,KG-12
Cambridge Elementary School,"1135 Lacey Ln., Concord",9,692,KG-05
Camerado Springs Middle School,"2480 Merrychase Dr., Cameron Park",81,678,06-08
Camino Grove Elementary School,"700 Camino Grove Ave., Arcadia",90,628,KG-05
Camino Pablo Elementary School,"1111 Camino Pablo, Moraga",95,402,KG-05
Campolindo High School,"300 Moraga Rd., Moraga",98,"1,300",09-12
Canfield Avenue Elementary School,"9233 Airdrome St., Los Angeles",80,355,KG-05
Canyon Crest Academy School,"5951 Village Center Loop Rd., San Diego",98,"2,255",09-12
Canyon Elementary School,"187 Pinehurst Rd., Canyon",92,70,KG-08
Canyon High School,"220 S. Imperial Hwy., Anaheim",80,"2,345",09-12
Canyon Hills Junior High School,"2500 Madrugada Dr., Chino Hills",84,"1,083",07-08
Canyon Rim Elementary School,"1090 The Highlands Dr., Anaheim",89,684,KG-06
Canyon View Elementary School,"12025 Yale Ct., Irvine",97,801,KG-06
Canyon View Elementary School,"9225 Adolphia St., San Diego",90,540,KG-05
Canyon Vista Elementary School,"27800 Oak View Dr., Aliso Viejo",92,652,KG-05
Capistrano Valley High School,"26301 Via Escolar, Mission Viejo",81,"2,241",09-12
Capistrano Virtual/Home School,"32972 Calle Perfecto, San Juan Capistrano",93,163,KG-08
Capri Elementary School,"941 Capri Rd., Encinitas",86,702,KG-06
Cardiff Elementary School,"1888 Montgomery Ave., Cardiff-by-the-Sea",83,376,KG-03
Carl H. Sundahl Elementary School,"9932 Inwood Rd., Folsom",85,401,KG-06
Carl Hankey Middle School,"27252 Nubles, Mission Viejo",80,236,06-08
Carleton P. Lightfoot Elementary School,"6989 Kenyon Way, Rancho Cucamonga",81,577,KG-05
Carlmont High School,"1400 Alameda de Las Pulgas, Belmont",92,"2,147",09-12
Carlsbad Seaside Academy School,"3557 Monroe St., Carlsbad",82,40,09-12
Carlton Elementary School,"2421 Carlton Ave, San Jose",96,692,KG-05
Carmel Creek Elementary School,"4210 Carmel Center Rd., San Diego",95,347,KG-03
Carmel Del Mar Elementary School,"12345 Carmel Park Dr., San Diego",97,537,KG-06
Carmel High School,"3600 Ocean Ave., Carmel",92,857,09-12
Carmel Middle School,"4380 Carmel Valley Rd., Carmel",95,559,06-08
Carmel River Elementary School,"Monte Verde St. and 15th Ave., Carmel",96,455,KG-05
Carmel Valley Middle School,"3800 Mykonos Ln., San Diego",97,"1,361",07-08
Carmela Elementary School,"13300 Lakeland Rd., Whittier",9,454,KG-06
Carmenita Middle School,"13435 E. 166th St., Cerritos",95,693,07-08
Carolyn A. Clark Elementary School,"3701 Rue Mirassou Dr., San Jose",96,732,KG-06
Carpenter Community Charter School,"3909 Carpenter Ave., Los Angeles",96,946,KG-05
Carrillo Elementary School,"2875 Poinsettia Ln., Carlsbad",90,"1,050",KG-05
Carroll Elementary School,"10325 Stathos Dr., Elk Grove",84,"1,136",KG-06
Carver (Charles J.) Elementary School,"19200 E. Ely St., Cerritos",89,623,KG-06
Carver Elementary School,"5335 E. Pavo St., Long Beach",87,487,KG-05
Carver Elementary School,"3100 Hntngtn Dr., San Marino",99,586,KG-05
Caryn Elementary School,"6290 Sierra Crest View Loop, Rancho Cucamonga",93,570,KG-05
Casa Loma Elementary School,"525 E. Casa Loma Dr., Bakersfield",9,760,KG-05
Casimir Middle School,"17220 Casimir Ave., Torrance",81,703,06-08
Casita Center For Science/Math/Technology School,"260 Cedar Dr., Vista",80,587,KG-05
Castille Elementary School,"24042 Via la Coruna, Mission Viejo",86,591,KG-05
Castle Heights Elementary School,"9755 Cattaraugus Ave., Los Angeles",87,585,KG-05
Castle Rock Elementary School,"2975 Castle Rock Rd., Diamond Bar",90,624,KG-05
Castlebay Lane Charter School,"19010 Castlebay Ln., Los Angeles",91,771,KG-05
Castro Valley High School,"19400 Santa Maria Ave., Castro Valley",84,"2,917",09-12
Catheryn Gates Elementary School,"1051 Trehowell Dr., Roseville",85,575,KG-05
Cedarwood Elementary School,"2851 Palo Alto Ave., Clovis",84,781,KG-06
Celerity Troika Charter School,"1495 Colorado Blvd., Los Angeles",83,609,KG-08
Center Street Elementary School,"700 Center St., El Segundo",91,737,KG-05
Centerville Junior High School,"37720 Fremont Blvd., Fremont",84,961,07-08
Central Elementary School,"525 Mid Rd., Belmont",95,449,KG-05
Central Elementary School,"1290 Ebony Ave., Imperial Beach",9,568,KG-06
Central Middle School,"757 Cedar St., San Carlos",95,704,06-08
Central Park Elementary School,"2720 Sonoma Pl., Santa Clara",84,-,03-05
Central Valley High (Continuation) School,"526 Mannel Ave., Shafter",9,84,09-12
Century Elementary School,"965 N. Sunnyside Ave., Clovis",88,669,KG-06
Century Park Elementary School,"10935 S. Spinning Ave., Inglewood",9,380,KG-05
Cerritos Elementary School,"13600 E. 183rd St., Cerritos",97,668,KG-06
Cerritos High School,"12500 E. 183rd St., Cerritos",92,"2,132",09-12
Cesar Chavez Elementary School,"1221 Anderson Rd., Davis",83,622,KG-06
Cesar E. Chavez Elementary School,"960 17th St., Richmond",9,569,KG-06
Chabot Elementary School,"19104 Lake Chabot Rd., Castro Valley",82,456,KG-05
Chabot Elementary School,"6686 Chabot Rd., Oakland",97,567,KG-05
Chaboya Middle School,"3276 Cortona Dr., San Jose",95,"1,143",07-08
Challenger Middle School,"10810 Parkdale Ave., San Diego",90,987,06-08
Chaparral Elementary School,"4849 Bird Farm Rd., Chino Hills",86,616,KG-06
Chaparral Elementary School,"451 Chaparral Dr., Claremont",86,659,KG-06
Chaparral Elementary School,"29001 Sienna Pkwy., Ladera Ranch",94,868,KG-05
Chaparral Elementary School,"22601 Liberty Bell Rd., Los Angeles",92,640,KG-05
Chaparral Elementary School,"17250 Tannin Dr., Poway",96,800,KG-05
Chaparral Middle School,"1408 S. Spruce Tree Dr., Diamond Bar",93,"1,212",06-08
Chapman Hills Elementary School,"170 N. Aspen St., Orange",80,483,KG-06
Charles Helmers Elementary School,"27300 N. Grandview Dr., Santa Clarita",85,731,KG-06
Charles W. Eliot Middle School,"2184 N. Lake Ave., Altadena",9,440,06-08
Charles Wagner Elementary School,"717 E. Yorba Linda Blvd., Placentia",85,464,KG-06
Charlotte Wood Middle School,"600 El Capitan Dr., Danville",96,"1,115",06-08
Charter Of Morgan Hill School,"9530 Monterey Rd., Morgan Hill",95,620,KG-08
Cherry Chase Elementary School,"1138 Heatherstone Way, Sunnyvale",97,852,KG-05
Chesterton Elementary School,"7335 Wheatley St., San Diego",90,482,KG-05
Chico Country Day School,"102 W. 11th St., Chico",82,559,KG-08
Chin (John Yehall) Elementary School,"350 BRd.way St., San Francisco",94,275,KG-05
Chinese Immersion At Deavila School,"1250 Waller St., San Francisco",96,405,KG-05
Christa Mcauliffe Elementary School,"12211 Titus Ave., Saratoga",94,486,KG-08
Chula Vista Hills Elementary School,"980 Buena Vista Way, Chula Vista",85,534,KG-06
Cielo Vista Charter School,"650 S. Paseo Dorotea, Palm Springs",81,818,KG-08
Cipriani Elementary School,"2525 Buena Vista, Belmont",92,365,KG-05
Circle View Elementary School,"6261 Hooker Dr., Huntington Beach",96,677,KG-05
Citizens Of The World 3 School,"11561 Gateway Blvd., Los Angeles",86,368,KG-05
Citizens Of The World Charter Hollywood School,"1316 N. Bronson Ave., Los Angeles",87,426,KG-08
Clara Barton Elementary School,"7437 Corona Valley Ave., Eastvale",82,956,KG-06
Claremont High School,"1601 N. Indian Hill Blvd., Claremont",83,"2,359",09-12
Clarendon Alternative Elementary School,"500 Clarendon Ave., San Francisco",94,552,KG-05
Classical Academy High School,"207 E Pennsylvania Ave, Escondido",80,"1,084",09-12
Clay Elementary School,"12449 S. Smith Ave., Kingsburg",92,236,KG-08
Clayton Valley Charter High School,"1101 Alberta Way, Concord",84,"1,984",09-12
Clear Creek Elementary School,"17700 McCt.ney Rd., Grass Valley",92,144,KG-08
Clear View School,"455 Windrose Way, Chula Vista",80,507,KG-06
Clemente Charter School,"5701 Fishburn Ave., Maywood",9,241,KG-06
Cleveland Elementary School,"745 Cleveland St., Oakland",83,408,KG-05
Clifford Street Elementary School,"2150 Duane St., Los Angeles",85,139,KG-06
Clover Avenue Elementary School,"11020 Clover Ave., Los Angeles",96,604,KG-05
Cloverly Elementary School,"5476 Cloverly Ave., Temple City",85,482,04-06
Clovis North High School,"2770 E. International Ave., Fresno",90,"2,459",09-12
Clovis West High School,"1070 E. Teague Ave., Fresno",83,"2,095",09-12
Clyde Arbuckle Elementary School,"1970 Cinderella Ln., San Jose",9,328,KG-05
Cobb Mountain Elementary School,"15895 Highway 175, Middletown",87,150,KG-06
Cobblestone Elementary School,"5740 Cobblestone Dr., Rocklin",80,417,KG-06
Col. J. K. Tuffree Middle School,"2151 N. Kraemer Blvd., Placentia",90,761,07-08
Cold Spring Elementary School,"2243 Sycamore Canyon Rd., Santa Barbara",99,151,KG-06
Cole Canyon Elementary School,"23750 Via Alisol, Murrietta",82,"1,076",KG-05
Cole Elementary School,"1331 Cole Ave., Highland",9,413,KG-06
Colfax Charter Elementary School,"11724 Addison St., Los Angeles",97,682,KG-05
Colfax High School,"24995 Ben Taylor Rd., Colfax",81,606,09-12
Colina Middle School,"1500 E. Hillcrest Dr., Thousand Oaks",80,971,06-08
College Connection Academy School,"1855 Lucretia Ave., San Jose",84,145,07-08
College Park Elementary School,"3700 Chaparral Ave., Irvine",90,773,KG-06
College Park Elementary School,"715-A Indian Ave., San Mateo",97,455,KG-05
College Park High School,"201 Viking Dr., Pleasant Hill",84,"2,013",09-12
College Preparatory Middle School,"5150 Jackson Dr., La Mesa",98,234,05-08
Collegewood Elementary School,"20725 E. Collegewood Dr., Walnut Valley",84,602,KG-05
Community Magnet Charter Elementary School,"11301 Bellagio Rd., Los Angeles",95,466,KG-05
Community Roots Academy School,"29292 Crown Valley Pkwy, Laguna Niguel",88,573,KG-08
Community /Independent Alternative Education School,"601 N. E St., San Bernardino",9,524,03-12
Concordia Elementary School,"3120 Avenida del Presidente, San Clemente",85,640,KG-05
Condor Elementary School,"2551 Condor Rd., Twentynine Palms",84,555,KG-06
Coolidge Elementary School,"421 N. Mission Dr., San Gabriel",85,391,KG-05
Copper Hills Elementary School,"1881 E. Plymouth Ave., Fresno",85,515,KG-06
Cornell Elementary School,"920 Talbot Ave., Albany",95,548,KG-05
Cornerstone Academy Preparatory School,"1598 Lucretia Ave., San Jose",86,456,KG-06
Cornerstone At Pedregal Elementary School,"6069 Groveoak Pl., Rancho Palos Verdes",99,403,KG-05
Corona Creek Elementary School,"1851 Hartman Ln., Petaluma",89,471,KG-06
Corona Del Mar High School,"2101 E.bluff Dr., Newport Beach",93,"2,580",07-12
Coronado High School,"650 D Ave., Coronado",90,"1,231",09-12
Coronado Middle School,"550 F Ave., Coronado",95,729,06-08
Coronado Village Elementary School,"600 Sixth St., Coronado",85,847,KG-05
Correia Middle School,"4302 Valeta St., San Diego",82,832,07-08
Corte Madera School,"4575 Alpine Rd., Portola Valley",97,356,04-08
Cosumnes Oaks High School,"8350 Lotz Pkwy., Elk Grove",82,"2,237",09-12
Cosumnes River Elementary School,"13580 Jackson Rd., Sloughhouse",87,475,KG-06
