school_name,address,city,school_district,telephone,students,classroom_teachers,free_lunch_students,reduce_price_lunch
Amador Valley High School,"1155 Santa Rita Rd.Pleasanton, CA 94566","Pleasanton, CA 94566",Pleasanton Unified,(925) 461-6100(make sure to verify first before calling),98,"2,628",No,114
Ambassador Phillip V. Sanchez Public Charter School,"5659 E. Kings Canyon Rd. Ste. 101Fresno, CA 93727","Fresno, CA 93727",Raisin City Elementary,(559) 255-9017(make sure to verify first before calling),591,21.1,482,44
Amelia Earhart Elementary School,"400 Packet Landing Rd.Alameda, CA 94502","Alameda, CA 94502",Alameda Unified,(510) 748-4003(make sure to verify first before calling),622,25.0,39,7
American High School,"36300 Fremont Blvd.Fremont, CA 94536","Fremont, CA 94536",Fremont Unified,(510) 796-1776(make sure to verify first before calling),"2,093",85.4,364,93
American Indian Public Charter Ii School,"171 12th St.Oakland, CA 94607","Oakland, CA 94607",Oakland Unified,(510) 893-8701(make sure to verify first before calling),88,641,No,380
American Indian Public High School,"746 Grand Ave.Oakland, CA 94607","Oakland, CA 94607",Oakland Unified,(510) 893-8701(make sure to verify first before calling),86,229,No,143
Anaheim Hills Elementary School,"6450 E. SerranoAnaheim, CA 92807","Anaheim, CA 92807",Orange Unified,(714) 997-6169(make sure to verify first before calling),92,516,No,23
Anahuacalmecac International Univ Prep Of N. America School,"4736 Hntngtn Dr. S.Los Angeles, CA 90032","Los Angeles, CA 90032",SBE - Anahuacalmecac International Univ Prep of N. America,(323) 352-3148(make sure to verify first before calling),9,368,No,324
Analy High School,"6950 Analy Ave.Sebastopol, CA 95472","Sebastopol, CA 95472",West Sonoma County Union High,(707) 824-2300(make sure to verify first before calling),"1,273",58.4,164,42
Anderson W. Clark Magnet High School,"4747 New York Ave.La Crescenta-Montrose, CA 91214","La Crescenta-Montrose, CA 91214",Glendale Unified,(818) 248-8324(make sure to verify first before calling),"1,103",37.3,438,150
Animo Inglewood Charter High School,"3425 W. Manchester Blvd.Inglewood, CA 90305","Inglewood, CA 90305",Inglewood Unified,(323) 565-2100(make sure to verify first before calling),83,642,No,498
Animo Western Charter Middle School,"12226 S. W.ern Ave.Los Angeles, CA 90047","Los Angeles, CA 90047",Los Angeles Unified,(323) 600-6000(make sure to verify first before calling),9,626,No,546
Anthony G. Bacich Elementary School,"699 Sir Francis Drake Blvd.Kentfield, CA 94904","Kentfield, CA 94904",Kentfield Elementary,(415) 925-2220(make sure to verify first before calling),659,33.4,33,4
Anza Elementary School,"1005 S. Anza St.EL CAJON, CA 92020","EL CAJON, CA 92020",Cajon Valley Union,(619) 588-3116(make sure to verify first before calling),568,26.4,510,20
Aptos High School,"100 Mariner WayAptos, CA 95003","Aptos, CA 95003",Pajaro Valley Unified,(831) 686-6565(make sure to verify first before calling),"1,409",54.2,376,73
Aragon High School,"900 Alameda de Las PulgasSan Mateo, CA 94402","San Mateo, CA 94402",San Mateo Union High,(650) 558-2999(make sure to verify first before calling),94,"1,473",No,156
Arcadia High School,"180 Campus Dr.Arcadia, CA 91007","Arcadia, CA 91007",Arcadia Unified,(626) 821-1711(make sure to verify first before calling),"3,424",137.8,520,268
Arcata High School,"1720 M St.Arcata, CA 95521","Arcata, CA 95521",Northern Humboldt Union High,(707) 825-2400(make sure to verify first before calling),855,38.2,234,31
Ardenwood Elementary School,"33955 Emilia Ln.Fremont, CA 94555","Fremont, CA 94555",Fremont Unified,(510) 794-0392(make sure to verify first before calling),989,36.0,58,17
Ardis G. Egan Junior High School,"100 W. Portola Ave.Los Altos, CA 94022","Los Altos, CA 94022",Los Altos Elementary,(650) 917-2200(make sure to verify first before calling),99,645,No,30
Arellanes (Don Juan Bautista) Elementary School,"1890 Sandalwood Dr.Santa Maria, CA 93455","Santa Maria, CA 93455",Santa Maria-Bonita,(805) 361-6860(make sure to verify first before calling),295,12.8,227,31
Argonaut Elementary School,"13200 Shadow Mountain Rd.Saratoga, CA 95070","Saratoga, CA 95070",Saratoga Union Elementary,(408) 867-4773(make sure to verify first before calling),391,20.0,3,Saratoga Union Elementary
Argonne Elementary School,"680 18th Ave.San Francisco, CA 94121","San Francisco, CA 94121",San Francisco Unified,(415) 750-8460(make sure to verify first before calling),430,18.0,114,24
Arlene Hein Elementary School,"6820 Bellaterra Dr.Elk Grove, CA 95757","Elk Grove, CA 95757",Elk Grove Unified,(916) 714-0654(make sure to verify first before calling),"1,219",54.4,264,112
Arlington Elementary School,"17800 Van Ness Ave.Torrance, CA 90504","Torrance, CA 90504",Torrance Unified,(310) 533-4510(make sure to verify first before calling),574,22.2,124,60
Arma J. Shull Elementary School,"825 N. AmeliaSan Dimas, CA 91773","San Dimas, CA 91773",Bonita Unified,(909) 971-8208(make sure to verify first before calling),604,22.1,141,64
Arnold Adreani Elementary School,"9927 Wildhawk W. Dr.Sacramento, CA 95829","Sacramento, CA 95829",Elk Grove Unified,(916) 525-0630(make sure to verify first before calling),809,38.0,132,79
Arnold O. Beckman High School,"3588 Bryan Ave.Irvine, CA 92602","Irvine, CA 92602",Tustin Unified,(714) 734-2900(make sure to verify first before calling),"2,847",103.6,491,179
Arroyo School,"1710 Arroyo Ave.San Carlos, CA 94070",http://arroyoschool.org/,San Carlos Elementary,(650) 632-8300(make sure to verify first before calling),95,San Carlos Elementary,No,
Arroyo Elementary School,"225 Ulysses St.Simi Valley, CA 93065","Simi Valley, CA 93065",Simi Valley Unified,(805) 306-4420(make sure to verify first before calling),26,228,No,121
Arroyo Seco Junior High School,"27171 N. Vista Delgado Dr.Santa Clarita, CA 91354","Santa Clarita, CA 91354",William S. Hart Union High,(661) 296-0991(make sure to verify first before calling),84,"1,220",No,114
Arroyo Vista Charter School,"2491 Sch House Rd.Chula Vista, CA 91915","Chula Vista, CA 91915",Chula Vista Elementary,(619) 656-9676(make sure to verify first before calling),94,995,No,110
Arroyo Vista Elementary School,"23371 Arroyo VistaRancho Santa Margarita, CA 92688","Rancho Santa Margarita, CA 92688",Capistrano Unified,(949) 234-5951(make sure to verify first before calling),605,21.5,47,24
Arroyo Vista Middle School,"23371 Arroyo VistaRancho Santa Margarita, CA 92688","Rancho Santa Margarita, CA 92688",Capistrano Unified,(949) 234-5951(make sure to verify first before calling),388,15.8,29,8
Arthur E. Wright Middle School,"4029 N. Las Virgenes Rd.Calabasas, CA 91302","Calabasas, CA 91302",Las Virgenes Unified,(818) 880-4614(make sure to verify first before calling),875,34.5,75,22
Arundel Elementary School,"200 Arundel Rd.San Carlos, CA 94070","San Carlos, CA 94070",San Carlos Elementary,(650) 508-7311(make sure to verify first before calling),97,527,No,16
Asawa (Ruth) Sf Of The Arts A Public School,"555 Portola Dr.San Francisco, CA 94131","San Francisco, CA 94131",San Francisco Unified,(415) 695-5700(make sure to verify first before calling),614,30.1,100,28
Ashley Falls Elementary School,"13030 Ashley Falls Dr.San Diego, CA 92130","San Diego, CA 92130",Del Mar Union Elementary,(858) 259-7812(make sure to verify first before calling),97,410,No,14
Aspire Benjamin Holt College Preparatory Academy School,"3201 E. Morada Ln.Stockton, CA 95212","Stockton, CA 95212",Lodi Unified,(209) 955-1477(make sure to verify first before calling),80,730,No,182
Aspire College Academy School,"8030 Atherton St.Oakland, CA 94605","Oakland, CA 94605",Oakland Unified,(510) 562-8030(make sure to verify first before calling),9,286,No,240
Aspire University Charter School,"3313 Coffee Rd.Modesto, CA 95355","Modesto, CA 95355",Sylvan Union Elementary,(209) 544-8722(make sure to verify first before calling),82,267,No,56
Aspire Vincent Shalvey Academy School,"10038 Hwy 99 E. Frontage Rd.Stockton, CA 95212","Stockton, CA 95212",Lodi Unified,(209) 931-5399(make sure to verify first before calling),84,387,No,100
Atherwood Elementary School,"2350 E. Greensward St.Simi Valley, CA 93065","Simi Valley, CA 93065",Simi Valley Unified,(805) 520-6730(make sure to verify first before calling),542,20.0,54,27
Audubon Elementary School,"841 Gull Ave.Foster City, CA 94404","Foster City, CA 94404",San Mateo-Foster City,(650) 312-7500(make sure to verify first before calling),91,717,No,20
Augustus F. Hawkins High A Critical Design And Gaming School,"825 W. 60th St.Los Angeles, CA 90044","Los Angeles, CA 90044",Los Angeles Unified,(323) 789-1282(make sure to verify first before calling),532,21.1,436,37
Aurelia Pennekamp Elementary School,"110 S. RowellManhattan Beach, CA 90266","Manhattan Beach, CA 90266",Manhattan Beach Unified,(310) 798-6223(make sure to verify first before calling),560,22.3,6,3
Austin Creek Elementary School,"1480 Snowy Egret Dr.Santa Rosa, CA 95409","Santa Rosa, CA 95409",Rincon Valley Union Elementary,(707) 538-2122(make sure to verify first before calling),420,18.0,19,3
Avery Middle School,"4545 Moran Rd.Avery, CA 95224","Avery, CA 95224",Vallecito Union,(209) 795-8520(make sure to verify first before calling),193,10.0,69,8
Aviara Oaks Elementary School,"6900 Ambrosia Ln.Carlsbad, CA 92009","Carlsbad, CA 92009",Carlsbad Unified,(760) 331-6000(make sure to verify first before calling),96,700,No,83
Aviara Oaks Middle School,"6880 Ambrosia Ln.Carlsbad, CA 92011","Carlsbad, CA 92011",Carlsbad Unified,(760) 331-6100(make sure to verify first before calling),95,"1,132",No,125
Balboa Gifted/High Ability Magnet Elementary School,"17020 Labrador St.Los Angeles, CA 91325","Los Angeles, CA 91325",Los Angeles Unified,(818) 349-4801(make sure to verify first before calling),748,26.0,104,74
Baldwin Stocker Elementary School,"422 W. Lemon Ave.Arcadia, CA 91007","Arcadia, CA 91007",Arcadia Unified,(626) 821-8351(make sure to verify first before calling),709,26.0,75,38
Ballard Elementary School,"2425 Sch St.Solvang, CA 93463","Solvang, CA 93463",Ballard Elementary,(805) 688-4812(make sure to verify first before calling),98,124,No,3
Bancroft Elementary School,"2200 Parish Dr.Walnut Creek, CA 94598","Walnut Creek, CA 94598",Mt. Diablo Unified,(925) 933-3405(make sure to verify first before calling),86,559,No,56
Banyan Elementary School,"10900 Mirador Dr.Rancho Cucamonga, CA 91737","Rancho Cucamonga, CA 91737",Alta Loma Elementary,(909) 484-5080(make sure to verify first before calling),612,22.5,178,42
Barbara Chilton Middle School,"4501 Bob Doyle Dr.Roseville, CA 95747","Roseville, CA 95747",Roseville City Elementary,(916) 771-1870(make sure to verify first before calling),91,482,No,45
Barnard Elementary School,"2445 Fogg St.San Diego, CA 92109","San Diego, CA 92109",San Diego Unified,(858) 800-5700(make sure to verify first before calling),430,18.0,129,33
Barton Hill Elementary School,"423 N. Pacific Ave.Los Angeles, CA 90731","Los Angeles, CA 90731",Los Angeles Unified,(310) 547-2471(make sure to verify first before calling),697,28.5,610,47
Bathgate Elementary School,"27642 Napoli WayMission Viejo, CA 92692","Mission Viejo, CA 92692",Capistrano Unified,(949) 348-0451(make sure to verify first before calling),670,22.0,80,16
Bay Farm School,"200 Aughinbaugh WayAlameda, CA 94502","Alameda, CA 94502",Alameda Unified,(510) 748-4010(make sure to verify first before calling),591,28.2,26,11
Bay Laurel Elementary School,"24740 Paseo PrimarioCalabasas, CA 91302","Calabasas, CA 91302",Las Virgenes Unified,(818) 222-9022(make sure to verify first before calling),600,24.6,20,3
Bay Park Elementary School,"2433 Denver St.San Diego, CA 92110","San Diego, CA 92110",San Diego Unified,(619) 276-1471(make sure to verify first before calling),90,444,No,96
Bayshore Preparatory Charter School,"1175 Linda Vista Dr.San Marcos, CA 92078","San Marcos, CA 92078",San Marcos Unified,(760) 471-0847(make sure to verify first before calling),81,112,No,29
Bayview Elementary School,"3001 16th St.San Pablo, CA 94806","San Pablo, CA 94806",West Contra Costa Unified,(510) 231-1401(make sure to verify first before calling),606,25.0,465,67
Baywood Elementary School,"1330 Ninth St.Los Osos, CA 93402","Los Osos, CA 93402",San Luis Coastal Unified,(805) 534-2856(make sure to verify first before calling),344,14.3,134,57
Beach Elementary School,"100 Lake AvePiedmont, CA 94611","Piedmont, CA 94611",Piedmont City Unified,(510) 594-2666(make sure to verify first before calling),335,16.5,6,Piedmont City Unified
Beacon Park School,"200 CultivateIrvine, CA 92618",http://www.iusd.org/,Irvine Unified,(949) 936-5000(make sure to verify first before calling),92,Irvine Unified,No,
Bear River High School,"11130 Magnolia Rd.Grass Valley, CA 95949","Grass Valley, CA 95949",Nevada Joint Union High,(530) 268-3700(make sure to verify first before calling),81,696,No,114
Beckford Charter For Enriched Studies School,"19130 Tulsa St.Los Angeles, CA 91326","Los Angeles, CA 91326",Los Angeles Unified,(818) 360-1924(make sure to verify first before calling),87,615,No,90
Beechwood Elementary School,"780 Beechwood Ave.Fullerton, CA 92835","Fullerton, CA 92835",Fullerton Elementary,(714) 447-2850(make sure to verify first before calling),95,868,No,65
Bel Aire Elementary School,"277 Karen WayTiburon, CA 94920","Tiburon, CA 94920",Reed Union Elementary,(415) 388-7100(make sure to verify first before calling),555,24.0,17,Reed Union Elementary
Bella Vista Elementary School,"22661 Old Alturas Rd.Bella Vista, CA 96008","Bella Vista, CA 96008",Bella Vista Elementary,(530) 549-4415(make sure to verify first before calling),51,351,No,184
Belle Haven Elementary School,"415 Ivy Dr.Menlo Park, CA 94025","Menlo Park, CA 94025",Ravenswood City Elementary,(650) 329-2898(make sure to verify first before calling),9,577,No,479
Bellevue-Santa Fe Charter School,"1401 San Luis Bay Dr.San Luis Obispo, CA 93405","San Luis Obispo, CA 93405",San Luis Coastal Unified,(805) 595-7169(make sure to verify first before calling),160,7.0,8,San Luis Coastal Unified
Benchley/Weinberger Elementary School,"6269 Twin Lake Dr.San Diego, CA 92119","San Diego, CA 92119",San Diego Unified,(619) 463-9271(make sure to verify first before calling),94,556,No,79
Bend Elementary School,"22270 Bend Ferry Rd.Red Bluff, CA 96080","Red Bluff, CA 96080",Evergreen Union,(530) 527-4648(make sure to verify first before calling),81,77,No,28
Benicia High School,"1101 Military W.Benicia, CA 94510","Benicia, CA 94510",Benicia Unified,(707) 747-8325(make sure to verify first before calling),83,"1,664",No,232
Benjamin Bubb Elementary School,"525 Hans Ave.Mountain View, CA 94040","Mountain View, CA 94040",Mountain View Whisman,(650) 526-3480(make sure to verify first before calling),556,24.0,113,14
Benjamin Franklin Elementary School,"1610 Lake St.Glendale, CA 91201","Glendale, CA 91201",Glendale Unified,(818) 243-1809(make sure to verify first before calling),656,26.0,87,41
Berkeley Arts Magnet At Whittier School,"1645 Milvia St.Berkeley, CA 94709","Berkeley, CA 94709",Berkeley Unified,(510) 644-6225(make sure to verify first before calling),448,20.6,128,25
Bernal Intermediate School,"6610 San Ignacio Ave.San Jose, CA 95119","San Jose, CA 95119",Oak Grove Elementary,(408) 578-5731(make sure to verify first before calling),782,32.0,201,55
Bernardo Heights Middle School,"12990 Paseo LucidoSan Diego, CA 92128","San Diego, CA 92128",Poway Unified,(858) 485-4850(make sure to verify first before calling),90,"1,474",No,156
Bernardo Yorba Middle School,"5350 Fairmont Blvd.Yorba Linda, CA 92886","Yorba Linda, CA 92886",Placentia-Yorba Linda Unified,(714) 986-7400(make sure to verify first before calling),688,26.4,126,28
Bernice Ayer Middle School,"1271 SarmentosoSan Clemente, CA 92673","San Clemente, CA 92673",Capistrano Unified,(949) 366-9607(make sure to verify first before calling),861,35.3,183,33
Bert M. Lynn Middle School,"5038 Halison St.Torrance, CA 90503","Torrance, CA 90503",Torrance Unified,(310) 533-4495(make sure to verify first before calling),730,30.2,86,43
Beryl Heights Elementary School,"920 Beryl St.Redondo Beach, CA 90277","Redondo Beach, CA 90277",Redondo Beach Unified,(310) 798-8611(make sure to verify first before calling),91,501,No,45
Bethany Elementary School,"570 Escuela Dr.Mountain House, CA 95391","Mountain House, CA 95391",Lammersville Joint Unified,(209) 836-7250(make sure to verify first before calling),88,848,No,118
Beverly Hills High School,"241 Moreno Dr.Beverly Hills, CA 90212","Beverly Hills, CA 90212",Beverly Hills Unified,(310) 229-3685(make sure to verify first before calling),"1,589",93.4,116,25
Beverly Vista Elementary School,"200 S. Elm Dr.Beverly Hills, CA 90212","Beverly Hills, CA 90212",Beverly Hills Unified,(310) 229-3665(make sure to verify first before calling),690,41.9,31,12
Big Springs Elementary School,"7405 Highway A-12Montague, CA 96064","Montague, CA 96064",Big Springs Union Elementary,(530) 459-3189(make sure to verify first before calling),50,146,No,60
Bird Rock Elementary School,"5371 La Jolla Hermosa Ave.San Diego, CA 92037","San Diego, CA 92037",San Diego Unified,(858) 488-0537(make sure to verify first before calling),96,516,No,36
Birney Elementary School,"3034 E. Cornell Ave.Fresno, CA 93703","Fresno, CA 93703",Fresno Unified,(559) 248-7000(make sure to verify first before calling),802,33.0,611,159
Black Mountain Middle School,"9353 Oviedo St.San Diego, CA 92129","San Diego, CA 92129",Poway Unified,(858) 484-1300(make sure to verify first before calling),92,"1,250",No,196
Black Rock Alternative/Continuation School,"59273 SunnyslopeYucca Valley, CA 92284","Yucca Valley, CA 92284",Morongo Unified,(760) 365-5922(make sure to verify first before calling),121,5.8,87,6
Blandford Elementary School,"2601 Blandford Dr.Rowland Heights, CA 91748","Rowland Heights, CA 91748",Rowland Unified,(626) 965-3410(make sure to verify first before calling),673,27.9,222,76
Blossom Hill Elementary School,"16400 Blossom Hill Rd.Los Gatos, CA 95032","Los Gatos, CA 95032",Los Gatos Union Elementary,(408) 335-2100(make sure to verify first before calling),98,668,No,10
Blue Hills Elementary School,"12300 De Sanka Ave.Saratoga, CA 95070","Saratoga, CA 95070",Cupertino Union,(408) 257-9282(make sure to verify first before calling),383,18.1,8,3
Blue Oaks Elementary School,"8150 Horncastle Ave.Roseville, CA 95747","Roseville, CA 95747",Roseville City Elementary,(916) 771-1700(make sure to verify first before calling),524,21.5,52,20
Blythe Street Elementary School,"18730 Blythe St.Los Angeles, CA 91335","Los Angeles, CA 91335",Los Angeles Unified,(818) 345-4066(make sure to verify first before calling),483,20.0,371,50
Bollinger Canyon Elementary School,"2300 Talavera Dr.San Ramon, CA 94583","San Ramon, CA 94583",San Ramon Valley Unified,(925) 242-3200(make sure to verify first before calling),97,607,No,16
Bonita Canyon Elementary School,"1 SundanceIrvine, CA 92603","Irvine, CA 92603",Irvine Unified,(949) 936-5450(make sure to verify first before calling),96,488,No,19
Bonita High School,"3102 D St.La Verne, CA 91750","La Verne, CA 91750",Bonita Unified,(909) 971-8220(make sure to verify first before calling),"1,993",73.7,424,141
Bonsall West Elementary School,"5050 El Mirlo Dr.Oceanside, CA 92057","Oceanside, CA 92057",Bonsall Unified,(760) 721-8001(make sure to verify first before calling),95,557,No,91
Booksin Elementary School,"1590 Dry Creek Rd.San Jose, CA 95125","San Jose, CA 95125",San Jose Unified,(408) 535-6213(make sure to verify first before calling),848,32.7,81,29
Bowditch Middle School,"1450 Tarpon St.Foster City, CA 94404","Foster City, CA 94404",San Mateo-Foster City,(650) 312-7680(make sure to verify first before calling),95,"1,068",No,31
Bowman Charter School,"13777 Bowman Rd.Auburn, CA 95603","Auburn, CA 95603",Ackerman Charter,(530) 885-1974(make sure to verify first before calling),80,556,No,109
Bragg Elementary School,"11501 Bos St.Cerritos, CA 90703","Cerritos, CA 90703",ABC Unified,(562) 229-7830(make sure to verify first before calling),652,25.0,160,66
Branham High School,"1570 Branham Ln.San Jose, CA 95118","San Jose, CA 95118",Campbell Union High,(408) 626-3407(make sure to verify first before calling),85,"1,514",No,150
Brea Country Hills Elementary School,"150 N. Associated Rd.Brea, CA 92821","Brea, CA 92821",Brea-Olinda Unified,(714) 990-3221(make sure to verify first before calling),593,22.0,101,23
